tkt_id,player_id,ticket_no,tkt_amt,purchase_time,win_amt,channel_id,channel_name,purchase_trans_id,win_trans_id
2044041,25064,2.04404E+11,40,09:36.4,0,2,WEB,1277159,1277159
2044042,25064,2.04404E+11,40,09:45.0,0,2,WEB,1277161,1277161
2044073,37366,2.04407E+11,40,10:42.7,0,2,WEB,1277198,1277198
2044105,37395,2.04411E+11,40,11:24.7,0,2,WEB,1277238,1277238
2044106,37395,2.04411E+11,40,11:24.8,0,2,WEB,1277239,1277239
2044579,24068,2.04458E+11,40,25:08.0,100,2,WEB,1277835,1367026
2045260,37333,2.04526E+11,40,53:14.5,0,2,WEB,1278756,1278756
2045261,37333,2.04526E+11,40,53:14.6,0,2,WEB,1278757,1278757
2045396,37337,2.0454E+11,40,58:05.0,0,2,WEB,1278921,1278921
2045437,36889,2.04544E+11,40,00:34.1,0,2,WEB,1278971,1278971
2045916,24125,2.04592E+11,40,24:20.1,0,2,WEB,1280156,1280156
2045917,24125,002045917007,40,24:20.2,0,2,WEB,1280157,1280157
2046225,37479,2.04623E+11,40,41:04.8,0,2,WEB,1280510,1280510
2046726,37788,2.04673E+11,40,17:39.7,100,2,WEB,1281150,1367460
2047105,24081,2.04711E+11,40,47:23.6,0,2,WEB,1283162,1283162
2047106,24081,2.04711E+11,40,47:23.7,0,2,WEB,1283164,1283164
2047107,24081,2.04711E+11,40,47:23.7,0,2,WEB,1283166,1283166
2047108,24081,2.04711E+11,40,47:23.8,0,2,WEB,1283169,1283169
2047111,37407,2.04711E+11,40,48:18.3,0,2,WEB,1283478,1283478
2047112,37407,2.04711E+11,40,48:18.4,0,2,WEB,1283479,1283479
2047113,37407,2.04711E+11,40,48:18.5,0,2,WEB,1283484,1283484
2047114,37407,2.04711E+11,40,48:18.5,0,2,WEB,1283489,1283489
2047115,37407,2.04712E+11,40,48:18.7,0,2,WEB,1283491,1283491
2047252,24081,2.04725E+11,40,57:53.4,0,2,WEB,1284465,1284465
2047253,24081,2.04725E+11,40,58:12.5,0,2,WEB,1284574,1284574
2047353,37369,2.04735E+11,40,09:52.4,0,2,WEB,1285794,1285794
2047509,37419,2.04751E+11,40,17:27.9,0,2,WEB,1286606,1286606
2047593,37301,2.04759E+11,40,21:15.1,0,2,WEB,1287069,1287069
2047729,37650,2.04773E+11,40,33:37.6,0,2,WEB,1288735,1288735
2047949,37650,2.04795E+11,40,55:24.2,0,2,WEB,1291006,1291006
2048255,37121,2.04826E+11,40,19:59.7,0,2,WEB,1293857,1293857
2048273,24081,2.04827E+11,40,21:46.3,0,2,WEB,1293877,1293877
2048274,24081,2.04827E+11,40,21:46.4,0,2,WEB,1293878,1293878
2048275,24081,2.04828E+11,40,21:46.4,0,2,WEB,1293879,1293879
2048287,24081,2.04829E+11,40,23:22.6,0,2,WEB,1294352,1294352
2048288,24081,2.04829E+11,40,23:22.7,100,2,WEB,1294354,1367810
2048289,24081,2.04829E+11,40,23:22.7,0,2,WEB,1294356,1294356
2048290,24081,2.04829E+11,40,23:22.8,100,2,WEB,1294359,1367811
2048291,24081,2.04829E+11,40,23:22.9,0,2,WEB,1294360,1294360
2048292,24081,2.04829E+11,40,23:22.9,0,2,WEB,1294362,1294362
2048293,24081,2.04829E+11,40,23:23.0,100,2,WEB,1294365,1367812
2048294,24081,2.04829E+11,40,23:23.1,0,2,WEB,1294367,1294367
2048295,24081,2.0483E+11,40,23:23.1,0,2,WEB,1294369,1294369
2048296,24081,2.0483E+11,40,23:23.2,0,2,WEB,1294372,1294372
2048302,24081,2.0483E+11,40,23:55.8,0,2,WEB,1294408,1294408
2048303,24081,2.0483E+11,40,23:55.8,0,2,WEB,1294409,1294409
2048304,24081,2.0483E+11,40,23:55.9,100,2,WEB,1294410,1367814
2048305,24081,2.04831E+11,40,23:55.9,0,2,WEB,1294411,1294411
2048306,24081,020483060075,40,23:56.0,0,2,WEB,1294412,1294412
2048730,34112,2.04873E+11,40,12:47.8,100,2,WEB,1297105,1367899
2048980,37743,2.04898E+11,40,36:03.8,0,2,WEB,1297393,1297393
2048983,37743,2.04898E+11,40,36:14.8,0,2,WEB,1297396,1297396
2049607,37603,2.04961E+11,40,21:22.1,0,2,WEB,1298093,1298093
2050798,27327,2.0508E+11,40,04:17.7,0,2,WEB,1299497,1299497
2050799,27327,2.0508E+11,40,04:17.7,0,2,WEB,1299498,1299498
2050800,27327,2.0508E+11,40,04:17.8,0,2,WEB,1299499,1299499
2050801,27327,2.0508E+11,40,04:17.8,0,2,WEB,1299500,1299500
2050802,27327,2.0508E+11,40,04:17.9,0,2,WEB,1299501,1299501
2050873,37566,2.05087E+11,40,06:43.4,100,2,WEB,1299590,1368463
2051715,37245,2.05172E+11,40,27:06.1,0,2,WEB,1300484,1300484
2052218,37058,2.05222E+11,40,37:22.7,0,2,WEB,1301042,1301042
2052219,37058,2.05222E+11,40,37:22.8,0,2,WEB,1301045,1301045
2052641,24081,2.05264E+11,40,47:12.0,100,2,WEB,1301554,1368795
2052642,24081,2.05264E+11,40,47:12.1,0,2,WEB,1301555,1301555
2052643,24081,2.05264E+11,40,47:12.1,0,2,WEB,1301556,1301556
2052644,24081,2.05264E+11,40,47:12.2,0,2,WEB,1301557,1301557
2052786,37710,2.05279E+11,40,49:44.6,100,2,WEB,1301737,1368824
2052796,37710,2.0528E+11,40,49:58.6,0,2,WEB,1301754,1301754
2053206,37539,2.05321E+11,40,00:28.5,0,2,WEB,1302308,1302308
2054047,37152,2.05405E+11,40,16:15.2,100,2,WEB,1303226,1369076
2054269,24825,2.05427E+11,40,20:44.0,0,2,WEB,1303503,1303503
2054333,37463,2.05433E+11,40,21:55.0,0,2,WEB,1303587,1303587
2054341,37463,2.05434E+11,40,22:04.0,0,2,WEB,1303594,1303594
2055177,31068,2.05518E+11,40,35:21.8,0,2,WEB,1304468,1304468
2055701,37701,2.0557E+11,40,46:50.5,0,2,WEB,1305204,1305204
2055702,37701,020557020023,40,46:50.5,0,2,WEB,1305205,1305205
2055703,37701,2.0557E+11,40,46:50.6,100,2,WEB,1305206,1369370
2056017,37584,2.05602E+11,40,52:39.1,100,2,WEB,1305585,1369458
2056275,37347,2.05628E+11,40,58:18.7,0,2,WEB,1305936,1305936
2056530,36674,2.05653E+11,40,02:27.0,100,2,WEB,1306257,1369569
2056545,36674,2.05655E+11,40,02:37.8,0,2,WEB,1306274,1306274
2057146,25162,2.05715E+11,40,12:01.6,0,6,WEB (QR CODE),NULL,NULL
2057253,37144,2.05725E+11,40,13:49.9,0,2,WEB,1307086,1307086
2057275,37290,2.05728E+11,40,14:24.8,0,2,WEB,1307117,1307117
2057453,24679,2.05745E+11,40,16:58.1,0,2,WEB,1307296,1307296
2057468,24679,2.05747E+11,40,17:02.6,100,2,WEB,1307306,1369719
2057491,24679,2.05749E+11,40,17:14.5,0,2,WEB,1307332,1307332
2057499,24679,2.0575E+11,40,17:18.8,0,2,WEB,1307353,1307353
2057511,24679,020575110089,40,17:26.4,0,2,WEB,1307367,1307367
2057763,37513,2.05776E+11,40,21:57.7,100,2,WEB,1307728,1369781
2057779,37513,2.05778E+11,40,22:22.0,0,2,WEB,1307750,1307750
2057780,37513,2.05778E+11,40,22:22.1,100,2,WEB,1307751,1369788
2058282,37656,2.05828E+11,40,30:50.9,100,2,WEB,1308360,1369901
2058642,37528,2.05864E+11,40,35:15.5,0,2,WEB,1308740,1308740
2058720,37395,2.05872E+11,40,36:57.1,0,2,WEB,1308869,1308869
2058721,37395,2.05872E+11,40,36:57.1,0,2,WEB,1308871,1308871
2059182,37206,2.05918E+11,40,44:05.8,0,2,WEB,1309351,1309351
2059183,37206,020591830027,40,44:05.9,0,2,WEB,1309352,1309352
2059184,37206,2.05918E+11,40,44:05.9,0,2,WEB,1309353,1309353
2059185,37206,2.05919E+11,40,44:06.0,0,2,WEB,1309354,1309354
2059186,37206,2.05919E+11,40,44:06.0,0,2,WEB,1309355,1309355
2059637,37786,2.05964E+11,40,47:55.3,0,2,WEB,1309678,1309678
2059649,37786,2.05965E+11,40,48:01.3,100,2,WEB,1309691,1370103
2059671,37694,2.05967E+11,40,48:27.1,0,2,WEB,1309723,1309723
2060204,36690,2.0602E+11,40,56:10.1,0,2,WEB,1310339,1310339
2060861,37417,2.06086E+11,40,05:27.0,100,2,WEB,1311061,1370293
2060898,37417,2.0609E+11,40,05:55.1,0,2,WEB,1311099,1311099
2061192,37427,2.06119E+11,40,09:41.7,0,2,WEB,1311442,1311442
2061577,36665,2.06158E+11,40,14:36.4,0,2,WEB,1311837,1311837
2061578,36665,2.06158E+11,40,14:36.5,0,2,WEB,1311838,1311838
2061579,36665,2.06158E+11,40,14:36.5,0,2,WEB,1311839,1311839
2061580,36665,2.06158E+11,40,14:36.6,100,2,WEB,1311840,1370392
2061581,36665,2.06158E+11,40,14:36.6,0,2,WEB,1311841,1311841
2061582,36665,2.06158E+11,40,14:36.7,0,2,WEB,1311843,1311843
2061583,36665,2.06158E+11,40,14:36.7,0,2,WEB,1311844,1311844
2062874,37705,2.06287E+11,40,30:04.4,0,2,WEB,1313166,1313166
2062956,37655,2.06296E+11,40,31:37.9,0,2,WEB,1313282,1313282
2063978,24081,2.06398E+11,40,45:39.2,0,2,WEB,1314405,1314405
